item_id,category,price,rating
0,Books,442.58,2.35
1,Music,290.21,3.38
2,Electronics,259.92,1.63
3,Movies,495.55,1.69
4,Books,377.0,4.17
5,Gaming,76.86,4.73
6,Music,246.44,3.52
7,Books,322.88,3.02
8,Music,75.3,4.01
9,Fashion,292.98,1.47
10,Electronics,351.66,3.81
11,Books,276.5,1.36
12,Education,179.56,1.2
13,Education,241.41,4.63
14,Education,6.12,2.07
15,Movies,400.93,1.04
16,Electronics,10.04,3.44
17,Music,395.65,4.11
18,Electronics,390.89,2.44
19,Education,441.95,1.05
20,Music,159.53,2.35
21,Fashion,86.96,2.34
22,Sports,295.01,3.08
23,Electronics,163.12,4.0
24,Movies,358.82,2.12
25,Music,165.0,2.15
26,Electronics,68.78,4.01
27,Books,27.91,1.6
28,Gaming,57.13,4.3
29,Books,26.78,3.66
30,Gaming,27.01,4.15
31,Movies,456.79,2.95
32,Fashion,403.25,3.83
33,Sports,398.84,4.07
34,Gaming,106.66,3.0
35,Books,480.41,2.37
36,Electronics,485.39,3.33
37,Sports,233.5,3.63
38,Fashion,408.84,2.58
39,Gaming,21.31,3.84
40,Gaming,478.3,3.5
41,Movies,98.27,1.99
42,Fashion,455.33,1.05
43,Books,276.63,1.63
44,Movies,144.97,2.23
45,Education,113.54,4.17
46,Gaming,169.44,2.38
47,Movies,229.24,4.61
48,Fashion,345.65,1.25
49,Music,24.43,3.27
50,Books,444.09,2.29
51,Music,127.65,3.99
52,Sports,303.04,3.26
53,Education,78.9,1.7
54,Education,144.48,1.83
55,Gaming,485.87,1.07
56,Education,314.9,3.07
57,Movies,165.01,4.55
58,Gaming,336.73,4.99
59,Books,88.48,1.35
60,Gaming,74.0,2.08
61,Music,211.31,4.45
62,Fashion,145.38,4.66
63,Gaming,234.14,3.59
64,Gaming,135.88,1.62
65,Books,435.38,1.44
66,Electronics,388.14,3.32
67,Music,431.26,3.87
68,Education,144.42,3.3
69,Sports,11.47,2.9
70,Fashion,47.58,2.72
71,Education,59.26,4.82
72,Books,263.92,4.65
73,Movies,16.07,3.55
74,Education,156.94,2.73
75,Gaming,437.18,4.92
76,Books,127.01,4.79
77,Education,345.92,4.81
78,Movies,283.37,4.84
79,Fashion,446.77,1.51
80,Fashion,158.84,1.97
81,Movies,288.19,4.21
82,Sports,380.91,3.91
83,Gaming,190.76,1.56
84,Movies,109.24,3.97
85,Electronics,78.03,1.89
86,Books,215.15,1.29
87,Electronics,110.28,1.6
88,Books,475.9,1.77
89,Gaming,431.58,1.46
90,Gaming,435.49,3.4
91,Books,425.6,4.47
92,Education,300.2,4.67
93,Movies,294.8,3.85
94,Music,210.96,4.66
95,Movies,412.96,1.67
96,Books,290.31,4.59
97,Electronics,397.57,4.85
98,Books,119.49,2.47
99,Education,256.06,1.93
100,Fashion,200.05,3.15
101,Fashion,99.71,2.03
102,Gaming,66.8,3.85
103,Electronics,183.97,1.88
104,Books,256.13,1.27
105,Gaming,462.09,2.18
106,Movies,443.8,2.99
107,Music,425.82,1.99
108,Education,91.76,4.4
109,Education,110.4,3.98
110,Movies,175.57,3.99
111,Music,454.28,4.93
112,Fashion,183.11,2.47
113,Sports,490.79,4.45
114,Fashion,27.32,3.29
115,Books,94.72,4.98
116,Movies,73.77,3.24
117,Books,334.27,4.75
118,Gaming,424.39,1.98
119,Electronics,288.45,4.81
120,Electronics,369.18,3.75
121,Gaming,378.68,2.29
122,Books,365.98,1.93
123,Electronics,216.91,4.56
124,Fashion,14.39,2.66
125,Education,137.08,1.79
126,Education,420.09,3.79
127,Gaming,60.75,2.98
128,Education,236.12,1.57
129,Movies,400.88,2.47
130,Music,382.16,1.77
131,Gaming,160.96,1.38
132,Movies,76.02,4.53
133,Books,59.01,1.38
134,Fashion,470.49,3.58
135,Fashion,54.95,4.89
136,Electronics,77.81,4.07
137,Sports,22.25,3.5
138,Books,275.62,1.83
139,Electronics,323.36,3.47
140,Sports,400.18,4.5
141,Electronics,257.5,2.96
142,Sports,312.69,3.92
143,Education,181.3,3.02
144,Fashion,294.63,4.95
145,Sports,295.92,1.9
146,Gaming,296.05,4.28
147,Sports,429.41,4.2
148,Books,444.66,2.34
149,Movies,256.25,4.12
150,Education,135.9,2.49
151,Fashion,416.42,4.08
152,Education,485.74,4.98
153,Gaming,124.17,4.6
154,Electronics,51.79,3.84
155,Books,113.95,2.2
156,Fashion,473.43,2.05
157,Fashion,338.22,1.71
158,Education,51.23,2.36
159,Education,313.98,1.99
160,Education,153.58,3.83
161,Electronics,55.88,2.79
162,Education,471.16,2.59
163,Sports,219.93,3.95
164,Sports,390.61,4.08
165,Movies,498.94,1.29
166,Gaming,491.22,4.8
167,Electronics,426.81,2.82
168,Music,436.1,1.88
169,Electronics,396.87,1.74
170,Books,408.6,3.46
171,Gaming,53.53,4.58
172,Gaming,291.09,3.62
173,Education,145.34,4.49
174,Movies,274.87,2.68
175,Electronics,269.47,3.81
176,Education,349.05,2.43
177,Gaming,195.7,3.25
178,Education,462.58,3.98
179,Education,198.26,2.35
180,Sports,264.2,4.48
181,Electronics,9.3,3.84
182,Electronics,150.78,1.83
183,Gaming,11.01,4.59
184,Music,456.56,1.25
185,Books,263.3,1.61
186,Movies,380.55,3.66
187,Gaming,152.08,1.47
