item_id,category,price,rating
0,Books,483.34,1.63
1,Gaming,97.22,4.71
2,Gaming,354.32,1.61
3,Books,199.78,1.23
4,Fashion,219.17,4.11
5,Fashion,279.22,3.59
6,Electronics,166.78,1.65
7,Books,11.49,4.29
8,Electronics,320.14,1.92
9,Education,212.12,4.21
10,Fashion,271.66,2.2
11,Music,137.26,1.87
12,Education,412.75,3.33
13,Sports,356.03,4.44
14,Sports,493.5,2.0
15,Sports,94.55,2.85
16,Electronics,22.36,4.17
17,Movies,442.46,3.74
18,Sports,137.66,1.49
19,Gaming,194.16,4.33
20,Gaming,177.17,1.14
21,Music,140.77,4.96
22,Sports,339.95,4.6
23,Electronics,388.56,3.16
24,Fashion,78.6,2.39
25,Education,293.95,4.48
26,Movies,137.99,1.48
27,Books,281.62,1.71
28,Fashion,307.13,2.05
29,Movies,119.33,2.6
30,Fashion,298.63,3.18
31,Books,126.14,4.56
32,Books,59.39,1.16
33,Movies,303.34,1.49
34,Electronics,254.92,4.81
35,Gaming,350.8,3.47
36,Fashion,289.53,1.72
37,Music,219.16,2.37
38,Electronics,476.77,1.97
39,Music,238.4,4.75
40,Fashion,395.64,4.86
41,Fashion,306.12,2.34
42,Movies,414.19,2.17
43,Gaming,86.56,3.83
44,Fashion,321.28,4.52
45,Electronics,481.15,4.43
46,Sports,34.71,3.66
47,Music,393.44,4.93
48,Music,190.46,1.68
49,Gaming,427.2,2.27
50,Books,301.11,2.56
51,Electronics,204.15,3.93
52,Sports,183.93,3.77
53,Music,12.09,2.3
54,Fashion,162.93,4.0
55,Education,160.71,3.53
56,Electronics,345.82,3.63
57,Books,303.63,2.65
58,Sports,189.79,3.26
59,Education,36.53,4.5
60,Books,413.53,2.39
61,Fashion,285.58,4.73
62,Movies,139.46,3.97
63,Sports,45.95,3.09
64,Gaming,442.56,3.21
65,Music,310.05,4.63
66,Music,359.1,3.78
67,Music,295.26,3.53
68,Gaming,402.83,4.92
69,Movies,398.69,3.83
70,Fashion,72.09,4.27
71,Sports,369.32,4.08
72,Electronics,119.39,4.61
73,Movies,53.15,2.01
74,Books,333.2,3.69
75,Fashion,160.1,3.81
76,Electronics,197.03,1.0
77,Fashion,85.49,4.53
78,Education,115.23,1.45
79,Electronics,342.69,2.76
80,Gaming,399.31,4.45
81,Books,423.76,2.25
82,Music,255.25,3.6
83,Fashion,164.38,1.16
84,Education,250.35,1.05
85,Sports,475.57,4.19
86,Education,100.04,2.15
87,Movies,491.51,2.49
88,Electronics,392.94,2.79
89,Fashion,432.73,3.82
90,Electronics,16.34,2.18
91,Education,281.21,4.7
92,Books,55.5,3.4
93,Gaming,154.58,4.56
94,Gaming,383.76,2.48
95,Electronics,87.72,1.05
96,Gaming,312.46,2.62
97,Sports,160.8,4.94
98,Fashion,235.74,4.0
99,Fashion,92.82,1.05
100,Movies,211.69,3.66
101,Books,255.77,4.56
102,Music,219.82,2.24
103,Music,458.44,2.63
104,Movies,138.48,1.39
105,Fashion,397.69,4.3
106,Electronics,21.48,2.43
107,Sports,376.19,4.79
108,Movies,192.02,4.49
109,Electronics,199.89,1.72
110,Sports,6.71,2.32
111,Electronics,192.35,4.78
112,Books,107.0,2.53
113,Electronics,17.45,4.05
114,Music,457.99,1.95
115,Gaming,217.35,1.49
116,Education,231.13,1.53
117,Education,264.06,3.94
118,Music,278.9,1.98
119,Gaming,180.13,3.55
120,Movies,296.93,1.55
121,Books,423.25,2.9
122,Music,85.37,1.49
123,Education,482.95,2.13
124,Music,454.75,2.64
125,Music,196.03,3.8
126,Movies,9.89,2.35
127,Gaming,154.81,4.47
128,Fashion,266.92,2.46
129,Sports,136.71,3.36
130,Movies,80.08,1.98
131,Education,150.34,3.43
132,Books,189.76,3.02
