user_id,age,country,signup_days_ago,premium_user
0,56,Australia,436,1
1,60,USA,72,0
2,56,USA,122,0
3,28,Australia,459,1
4,53,UK,872,1
5,39,India,309,1
6,61,India,414,0
7,38,India,161,0
8,39,Australia,253,0
9,66,USA,475,0
10,59,Australia,476,1
11,32,Australia,190,0
12,68,Canada,876,0
13,20,USA,485,0
14,38,Canada,841,0
15,21,Germany,601,1
16,67,USA,777,0
17,19,USA,340,0
18,24,USA,428,0
19,64,India,35,1
20,53,India,562,0
21,19,Canada,390,0
22,21,Canada,822,0
23,35,USA,730,0
24,27,Canada,958,1
25,48,India,816,0
26,31,Australia,727,0
27,57,Australia,725,0
28,35,Australia,879,1
29,43,Canada,217,0
30,62,Germany,41,0
31,62,India,65,0
32,26,Germany,344,0
33,25,Canada,472,0
34,68,UK,593,1
35,52,USA,289,0
36,59,India,231,0
37,45,Australia,135,1
38,29,Germany,930,0
39,40,UK,574,0
40,52,UK,684,0
41,44,India,547,0
42,54,India,943,1
43,18,UK,5,0
44,31,USA,871,0
45,32,USA,15,0
46,30,Germany,691,0
47,56,USA,241,0
48,49,UK,900,1
49,40,UK,231,0
50,60,Canada,541,0
51,49,UK,839,0
52,39,USA,796,1
53,62,Australia,574,0
54,23,Germany,796,1
55,61,Canada,340,1
56,28,USA,640,1
57,45,Germany,473,0
58,50,USA,385,0
59,69,Canada,973,1
60,56,UK,710,0
61,26,Australia,318,0
62,68,Canada,234,0
63,32,UK,827,0
64,49,Canada,472,1
65,66,India,830,1
66,69,Australia,268,0
67,19,USA,387,0
68,66,USA,952,0
69,66,Australia,2,0
70,40,India,997,0
71,18,UK,403,0
72,61,USA,730,1
73,49,India,247,0
74,28,USA,184,0
75,55,Germany,280,0
76,51,UK,198,0
77,65,Germany,144,1
78,23,Australia,464,0
79,37,UK,764,0
80,36,India,346,0
81,36,UK,148,0
82,69,UK,489,0
83,56,India,338,1
84,28,Australia,988,1
85,67,UK,151,0
86,59,Australia,611,0
87,33,Australia,346,1
88,69,Australia,572,0
89,18,USA,304,1
90,22,Canada,37,1
91,26,Australia,233,0
92,65,India,208,1
93,41,Canada,54,1
94,41,Australia,628,0
95,25,India,420,1
96,37,India,254,0
97,42,Germany,99,1
98,35,Germany,896,0
99,19,UK,822,0
100,58,Australia,996,1
101,50,Australia,398,0
102,37,Canada,504,0
103,24,India,195,0
104,50,Australia,688,0
105,68,UK,470,0
106,63,USA,670,1
107,62,India,563,1
108,44,USA,27,1
109,47,UK,609,0
110,50,Germany,453,0
111,65,UK,659,0
112,66,USA,512,0
113,45,India,158,1
114,23,Canada,99,1
115,54,Australia,280,0
116,63,UK,181,0
117,50,India,116,0
118,38,Australia,928,1
119,20,Germany,128,0
120,59,Germany,735,1
121,20,Australia,872,0
122,67,Germany,288,0
123,40,India,962,0
124,59,UK,386,0
125,57,India,929,0
126,65,India,39,0
127,43,Australia,867,0
128,41,Canada,525,0
129,24,Canada,825,0
130,37,UK,321,0
131,63,Australia,400,0
132,68,Canada,471,0
133,51,Germany,834,0
134,39,Canada,51,0
135,39,Germany,314,1
136,66,UK,692,0
137,32,India,54,0
138,54,India,993,1
139,61,Canada,620,0
140,21,Germany,774,0
141,69,USA,350,0
142,57,USA,820,0
143,67,USA,636,1
144,36,India,657,0
145,36,Australia,604,1
146,43,India,741,0
147,40,Australia,127,0
148,18,Germany,58,1
149,64,Canada,802,0
150,65,USA,601,0
151,18,Germany,272,0
152,22,Germany,790,1
153,20,Canada,76,0
154,68,Germany,997,0
155,46,Canada,974,0
156,64,UK,94,1
