user_id,age,premium_user,favorite_category,secondary_category
0,56,1,Books,Electronics
1,32,1,Movies,Books
2,38,0,Sports,Books
3,36,0,Books,Gaming
4,28,1,Books,Music
5,53,0,Gaming,Electronics
6,20,0,Electronics,Books
7,19,1,Sports,Books
8,47,0,Electronics,Music
9,38,0,Sports,Gaming
10,39,0,Gaming,Books
11,42,0,Education,Movies
12,59,0,Movies,Education
13,33,0,Electronics,Education
14,64,0,Fashion,Gaming
15,61,0,Gaming,Fashion
16,20,1,Movies,Books
17,24,0,Sports,Education
18,56,0,Music,Electronics
19,42,1,Books,Movies
20,67,0,Books,Sports
21,43,0,Music,Movies
22,37,0,Movies,Education
23,24,0,Electronics,Gaming
24,25,0,Education,Movies
25,31,0,Books,Movies
26,67,0,Books,Music
27,19,0,Movies,Education
28,59,0,Music,Movies
29,46,1,Sports,Gaming
30,43,0,Books,Electronics
31,27,1,Sports,Education
32,31,1,Movies,Electronics
33,32,0,Sports,Education
34,40,0,Books,Movies
35,57,1,Movies,Sports
36,62,0,Music,Books
37,41,0,Music,Fashion
38,62,0,Sports,Gaming
39,32,0,Movies,Gaming
40,42,1,Books,Music
41,41,0,Fashion,Music
42,25,0,Sports,Books
43,28,0,Education,Sports
44,25,1,Movies,Gaming
45,50,0,Sports,Gaming
46,59,0,Music,Education
47,58,1,Electronics,Fashion
48,26,0,Electronics,Education
49,51,0,Music,Sports
50,40,0,Movies,Electronics
51,54,1,Sports,Music
52,57,0,Music,Books
53,52,0,Education,Sports
54,54,1,Education,Books
55,20,1,Movies,Books
56,43,0,Sports,Gaming
57,31,0,Movies,Gaming
58,26,1,Gaming,Movies
59,43,0,Gaming,Fashion
60,30,0,Sports,Books
61,49,0,Education,Electronics
62,69,0,Electronics,Education
63,21,1,Books,Fashion
64,40,0,Fashion,Education
65,32,1,Gaming,Movies
66,53,1,Books,Movies
67,24,0,Gaming,Movies
68,39,1,Education,Movies
69,59,1,Movies,Music
70,23,0,Electronics,Gaming
71,61,0,Books,Gaming
72,47,1,Movies,Education
73,45,0,Music,Electronics
74,50,0,Movies,Sports
75,44,0,Fashion,Movies
76,69,0,Electronics,Gaming
77,20,0,Movies,Music
78,25,0,Fashion,Music
79,54,0,Books,Education
80,59,0,Movies,Education
81,32,0,Sports,Books
82,49,0,Music,Education
83,58,0,Fashion,Music
84,66,0,Electronics,Music
85,29,0,Music,Sports
86,19,1,Electronics,Books
87,54,0,Music,Education
88,34,0,Movies,Books
89,19,0,Electronics,Fashion
90,40,0,Books,Electronics
91,50,0,Education,Gaming
92,19,0,Books,Education
93,43,1,Fashion,Books
94,49,0,Education,Movies
95,28,0,Fashion,Sports
96,34,1,Gaming,Books
97,41,0,Sports,Gaming
98,51,0,Movies,Sports
99,28,1,Music,Sports
100,33,1,Education,Electronics
101,23,0,Sports,Books
102,20,0,Books,Sports
103,53,0,Electronics,Music
104,20,1,Sports,Music
105,37,0,Sports,Electronics
106,69,1,Books,Gaming
107,57,0,Electronics,Fashion
108,35,1,Books,Electronics
109,28,0,Music,Electronics
110,42,0,Sports,Fashion
111,48,1,Education,Books
112,52,0,Fashion,Gaming
113,33,1,Education,Books
114,69,0,Education,Gaming
115,19,1,Gaming,Books
116,29,0,Books,Electronics
117,49,0,Gaming,Fashion
118,26,0,Gaming,Sports
119,36,1,Education,Gaming
120,20,1,Electronics,Gaming
121,50,0,Books,Electronics
122,28,1,Gaming,Music
123,53,1,Music,Education
124,37,0,Books,Fashion
125,65,0,Sports,Books
126,52,1,Education,Books
127,35,0,Gaming,Books
128,35,0,Movies,Sports
129,52,0,Sports,Education
130,58,0,Books,Movies
131,21,0,Books,Electronics
132,38,0,Electronics,Books
133,25,1,Sports,Books
134,34,0,Gaming,Sports
135,65,0,Education,Books
136,68,0,Gaming,Electronics
137,39,0,Fashion,Movies
138,55,1,Electronics,Movies
139,68,1,Movies,Education
140,44,0,Education,Fashion
141,38,0,Gaming,Music
142,45,0,Education,Books
143,50,0,Sports,Fashion
144,65,0,Sports,Electronics
145,52,1,Electronics,Gaming
146,34,1,Music,Electronics
147,47,1,Electronics,Music
148,23,0,Education,Movies
149,58,1,Fashion,Electronics
150,46,0,Books,Education
151,48,1,Fashion,Electronics
152,50,0,Books,Gaming
153,38,0,Sports,Movies
154,50,0,Books,Music
155,35,0,Sports,Music
156,48,1,Electronics,Music
157,20,0,Books,Movies
158,41,0,Music,Fashion
159,64,1,Sports,Gaming
160,19,0,Music,Books
161,59,1,Movies,Sports
162,34,1,Fashion,Gaming
163,26,1,Movies,Sports
164,65,0,Music,Education
165,59,1,Books,Electronics
166,52,0,Education,Movies
167,41,1,Books,Electronics
168,24,0,Sports,Music
169,62,0,Movies,Books
170,25,1,Music,Electronics
171,33,0,Sports,Fashion
172,68,0,Movies,Books
173,45,0,Education,Gaming
174,49,0,Movies,Music
175,39,0,Electronics,Gaming
176,39,0,Movies,Gaming
177,39,0,Books,Fashion
178,59,1,Movies,Electronics
179,60,0,Books,Gaming
180,50,1,Fashion,Sports
181,61,1,Movies,Music
182,56,0,Sports,Gaming
183,62,0,Music,Books
184,47,0,Movies,Music
185,57,1,Education,Fashion
186,30,1,Electronics,Books
187,59,0,Gaming,Education
188,34,0,Movies,Electronics
189,36,0,Electronics,Sports
